Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Size	Replication Sample Size	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
04/17/2012	22426144	Long J	03/16/2012	Cancer Epidemiol Biomarkers Prev	http://www.ncbi.nlm.nih.gov/pubmed/22426144	Genome-Wide Association Study Identifies a Possible Susceptibility Locus for Endometrial Cancer.	Endometrial cancer	832 Chinese ancestry cases, 2,682 Chinese ancestry controls	6,864 European ancestry cases, 12,936 European ancestry controls, 796 Chinese ancestry cases, 978 Chinese ancestry controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Affymetrix [585,963]	N
04/18/2012	22446040	Wang KS	03/16/2012	Gene	http://www.ncbi.nlm.nih.gov/pubmed/22446040	A novel locus for body mass index on 5p15.2: A meta-analysis of two genome-wide association studies.	Body mass index	5,218 European ancestry individuals	762 European ancestry individuals	5p15.2	5	10372618	MARCH6	MARCH6			10299			rs2607292-T	rs2607292	0	2607292	intron	1	0.1	4E-6	5.397940008672037		    .77	[NR] unit increase	Illumina [up to 520,531]	N
04/18/2012	22446040	Wang KS	03/16/2012	Gene	http://www.ncbi.nlm.nih.gov/pubmed/22446040	A novel locus for body mass index on 5p15.2: A meta-analysis of two genome-wide association studies.	Body mass index	5,218 European ancestry individuals	762 European ancestry individuals	21q21.3	21	31100797	GRIK1	GRIK1			2897			rs933117-A	rs933117	0	933117	intron	1	0.08	6E-6	5.221848749616356		    .85	[NR] unit decrease	Illumina [up to 520,531]	N
04/18/2012	22446040	Wang KS	03/16/2012	Gene	http://www.ncbi.nlm.nih.gov/pubmed/22446040	A novel locus for body mass index on 5p15.2: A meta-analysis of two genome-wide association studies.	Body mass index	5,218 European ancestry individuals	762 European ancestry individuals	5p15.2	5	10464107	ROPN1L	ROPN1L			83853			rs2967951-T	rs2967951	0	2967951	intron	1	0.1	1E-6	5.999999999999999		    .81	[NR] unit increase	Illumina [up to 520,531]	N
04/18/2012	22425255	Lopez LM	03/15/2012	Neurobiol Aging	http://www.ncbi.nlm.nih.gov/pubmed/22425255	A genome-wide search for genetic influences and biological pathways related to the brain's white matter integrity.	White matter integrity	535 individuals	NR	1p33	1	48321221	LOC388630	RPL21P24 - SKINTL	100270880	391037	388630	      357.17	      246.17	rs946836-T	rs946836	0	946836	Intergenic	2	0.33	5E-6	5.301029995663981		    .30	[0.17-0.43] unit increase	Illumina [542,050]	N
04/18/2012	22425255	Lopez LM	03/15/2012	Neurobiol Aging	http://www.ncbi.nlm.nih.gov/pubmed/22425255	A genome-wide search for genetic influences and biological pathways related to the brain's white matter integrity.	White matter integrity	535 individuals	NR	16q23.1	16	77329641	ADAMTS18	ADAMTS18			170692			rs7192208-G	rs7192208	0	7192208	intron	1	0.11	2E-6	5.698970004336018		    .48	[0.29-0.68] unit decrease	Illumina [542,050]	N
04/06/2012	22432041	Johnson MP	03/14/2012	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/22432041	Genome-Wide Association Scan Identifies a Risk Locus for Preeclampsia on 2q14, Near the Inhibin, Beta B Gene.	Preeclampsia	538 European ancestry cases, 540 European ancestry  controls	1,894 European ancestry cases, 3,022 European ancestry controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Illumina [648,175]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	17q12	17	35189091	Intergenic	MRM1 - LHX1	79922	3975		      223.68	      105.41	rs17138064-?	rs17138064	0	17138064	Intergenic	2	0.84	5E-7	6.30102999566398	(CP)	   1.92	[1.47-2.5] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	3p26.1	3	7538202	GRM7	GRM7			2917			rs1450100-?	rs1450100	0	1450100	intron	1	0.65	8E-6	5.096910013008055	(CL)	   1.54	[1.85-1.27] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	3p14.2	3	59981525	FHIT	FHIT			2272			rs212016-?	rs212016	0	212016	intron	1	0.69	7E-6	5.154901959985742	(CL)	   1.54	[1.89-1.27] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	19p13.11	19	18747605	Intergenic	CRLF1;KLHL26			9244;55295			rs3764628-?	rs3764628	0	3764628	intron;nearGene-5	1	0.12	4E-6	5.397940008672037	(CL)	   1.89	[2.5-1.43] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	1p31.1	1	70154441	LRRC7	AF357533 - LRRC7	171416	57554		     1173.92	       71.42	rs1417437-?	rs1417437	0	1417437	Intergenic	2	0.65	9E-6	5.045757490560675	(CL_CLP)	   1.25	[1.37-1.14] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	11q14.1	11	77154639	NR	PAK1			5058			rs527589-?	rs527589	0	527589	intron	1	NR	3E-6	5.522878745280337	(CL_CLP)	   1.75	[1.37-2.22] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	13q12.12	13	24654228	SPATA13	FLJ46358 - SPATA13	400110	221178		      132.12	       80.66	rs17079928-?	rs17079928	0	17079928	Intergenic	2	0.82	6E-6	5.221848749616356	(CL_CLP)	   1.33	[1.52-1.18] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	1p31.1	1	70154441	LRRC7	AF357533 - LRRC7	171416	57554		     1173.92	       71.42	rs1417437-?	rs1417437	0	1417437	Intergenic	2	0.64	4E-6	5.397940008672037	(CLP)	   1.30	[1.47-1.16] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	10p11.23	10	30177888	Intergenic	CKS1BP2 - KIAA1462	246714	57608		      190.31	      125.50	rs3006564-?	rs3006564	0	3006564	Intergenic	2	0.48	5E-6	5.301029995663981	(CLP)	   1.32	[1.47-1.16] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	10q26.2	10	129998372	Intergenic	MKI67 - MGMT	4288	4255		       73.72	     1267.08	rs1329189-?	rs1329189	0	1329189	Intergenic	2	0.62	5E-6	5.301029995663981	(CLP)	   1.30	[1.47-1.16] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	2q37.2	2	235960893	SH3BP4	SH3BP4			23677			rs10174126-?	rs10174126	0	10174126	intron	1	0.43	7E-7	6.154901959985743	(CP)	   1.59	[1.32-1.92] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	5q14.1	5	80411221	RASGRF2	RASGRF2			5924			rs4703822-?	rs4703822	0	4703822	intron	1	0.72	4E-6	5.397940008672037	(CP)	   1.59	[1.3-1.92] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	10p14	10	7089016	NR	PRKCQ - SFMBT2	5588	57713		      531.91	      115.23	rs10905099-?	rs10905099	0	10905099	Intergenic	2	NR	8E-6	5.096910013008055	(CP)	   3.45	[1.92-6.25] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	14q22.1	14	52989228	TXNDC16	TXNDC16			57544			rs745080-?	rs745080	0	745080	intron	1	0.55	8E-7	6.096910013008056	(CP)	   1.59	[1.32-1.92] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	14q32.12	14	92556055	ATXN3	ATXN3			4287			rs17807815-?	rs17807815	0	17807815	intron	1	0.07	6E-6	5.221848749616356	(CP)	   2.38	[1.59-3.57] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	11q12.1	11	56440236	NR	OR2AH1P - OR9G1	81336	390174		        2.82	       27.63	rs11228719-?	rs11228719	0	11228719	Intergenic	2	NR	4E-6	5.397940008672037	(CP)	   1.64	[1.32-2.04] 	Illumina [NR]	N
04/18/2012	22419666	Shi M	03/14/2012	Am J Med Genet A	http://www.ncbi.nlm.nih.gov/pubmed/22419666	Genome wide study of maternal and parent-of-origin effects on the etiology of orofacial clefts.	Orofacial clefts	1,094 European ancestry triads, 1,277 Asian ancestry triads and 87 other ancestry triads	NR	6p24.3	6	7736743	BMP6	BMP6			654			rs2068361-?	rs2068361	0	2068361	intron	1	0.23	5E-6	5.301029995663981	(CL)	   1.64	[1.32-2.04 	Illumina [NR]	N
04/06/2012	22417934	Athanasiu L	03/12/2012	Psychiatry Res	http://www.ncbi.nlm.nih.gov/pubmed/22417934	Genome-wide association study identifies genetic loci associated with body mass index and high density lipoprotein-cholesterol levels during psychopharmacological treatment - a cross-sectional naturalistic study.	Body mass index and cholesterol (psychopharmacological treatment)	283 European ancestry schizophrenia cases, 213 European ancestry bipolar disorder cases, 98 European ancestry psychosis cases	NR	8q21.3	8	89585048	MMP16	MMP16 - RIPK2	4325	8767		      245.33	     1184.93	rs7838490-?	rs7838490	0	7838490	Intergenic	2	NR	6E-8	7.221848749616355	(BMI)	NR	NR	Affymetrix [608,239]	N
04/06/2012	22417934	Athanasiu L	03/12/2012	Psychiatry Res	http://www.ncbi.nlm.nih.gov/pubmed/22417934	Genome-wide association study identifies genetic loci associated with body mass index and high density lipoprotein-cholesterol levels during psychopharmacological treatment - a cross-sectional naturalistic study.	Body mass index and cholesterol (psychopharmacological treatment)	283 European ancestry schizophrenia cases, 213 European ancestry bipolar disorder cases, 98 European ancestry psychosis cases	NR	12q21.1	12	73601132	Intergenic	TRHDE - RPL31P48	29953	645654		      541.71	      441.29	rs11615274-?	rs11615274	0	11615274	Intergenic	2	NR	9E-8	7.045757490560674	(HDL-C)	NR	NR	Affymetrix [608,239]	N
04/03/2012	22428042	Nakano M	03/12/2012	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/22428042	Common Variants in CDKN2B-AS1 Associated with Optic-Nerve Vulnerability of Glaucoma Identified by Genome-Wide Association Studies in Japanese.	Glaucoma (primary open-angle)	833 Japanese ancestry cases, 686 Japanese ancestry controls	411 Japanese ancestry cases, 289 Japanese ancestry controls	9p21.3	9	22031005	CDKN2B-AS1	CDKN2BAS			100048912			rs7865618-A	rs7865618	0	7865618		1	0.82	9E-11	10.04575749056067		   1.78	[1.50-2.12] 	Affymetrix [653,519]	N
03/30/2012	22399142	Jongjaroenprasert W	03/08/2012	J Hum Genet	http://www.ncbi.nlm.nih.gov/pubmed/22399142	A genome-wide association study identifies novel susceptibility genetic variation for thyrotoxic hypokalemic periodic paralysis.	Thyrotoxic hypokalemic periodic paralysis	78 Thai ancestry cases, 74 Thai ancestry controls	28 Thai ancestry cases, 48 Thai ancestry controls	17q24.3	17	68259446	KCNJ2	CALM2P1 - SOX9	100128390	6662		       21.54	     1857.72	rs623011-A	rs623011	0	623011	Intergenic	2	0.45	4E-12	11.39794000867204		   5.47	[3.04-9.83] 	Illumina [508,393]	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	2q37.1	2	234183368	ATG16L1, SAG, DGKD, INPP5D, USP40	ATG16L1			55054			rs2241880-G	rs2241880	0	2241880	missense	1	0.601	1E-12	12		   1.32	[1.24-1.41] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	2p15	2	62713533	TMEM17, EHBP1, CPAMD8, AK3	B3GNT2 - TMEM17	10678	200728		      261.67	       13.82	rs6545946-C	rs6545946	0	6545946	Intergenic	2	0.77	7E-9	8.154901959985743		   1.16	[1.06-1.27] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	5p13.1	5	40437948	PTGER4	DAB2 - PTGER4	1601	5734		     1012.61	      242.08	rs9292777-T	rs9292777	0	9292777	Intergenic	2	0.597	2E-11	10.69897000433602		   1.37	[1.28-1.48] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	5q21.1	5	101946798	SLCO6A1	SLCO6A1 - PAM	133482	5066		      112.08	      254.73	rs7705924-G	rs7705924	0	7705924	Intergenic	2	0.066	2E-8	7.698970004336018		   1.48	[1.17-1.87] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	6p22.1	6	29723161	HLA-F, MOG, HLA-G, GABBR1, HLA-H, UBD, HLA-A	IFITM4P - 3.8-1.5	340198	353010		        4.24	        9.73	rs9258260-T	rs9258260	0	9258260	Intergenic	2	0.104	2E-10	9.698970004336017		   1.45	[1.21-1.68] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	8q24.13	8	127092882	Intergenic	TRIB1 - FAM84B	10221	157638		      642.24	      471.81	rs1906493-A	rs1906493	0	1906493	Intergenic	2	0.432	3E-6	5.522878745280337		   1.19	[1.09-1.28] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	1p31.3	1	67705958	IL23R, IL12RB2, C1orf141, SERBP1,SLC35D1	IL23R			149233			rs11209026-G	rs11209026	0	11209026	missense	1	0.921	1E-18	18		   2.20	[2.10-2.35] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	5q31.1	5	131402738	IL3, ACSL6, P4HA2, PDLIM4, SLC22A4	IL3 - CSF2	3562	1437		        3.84	        6.75	rs3091338-T	rs3091338	0	3091338	Intergenic	2	0.328	4E-8	7.397940008672037		   1.23	[1.08-1.42] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	2p16.1	2	61186829	PUS10, PEX13, REL, KIAA1841, C2orf74, PAPOLG, USP34	PUS10			150962			rs13003464-G	rs13003464	0	13003464	intron	1	0.487	5E-9	8.301029995663981		   1.05	[1.00-1.40] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	17q12	17	32593974	CCL7, CCL2, CCL11, CCL8, CCL13, CCL1	CCL2 - CCL7	6347	6354		        9.75	        3.27	rs3091316-G	rs3091316	0	3091316	Intergenic	2	0.732	4E-8	7.397940008672037		   1.14	[1.03-1.27] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
04/03/2012	22412388	Kenny EE	03/08/2012	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22412388	A genome-wide scan of Ashkenazi Jewish Crohn's disease suggests novel susceptibility loci.	Crohn's disease	737 Ashkenazi Jewish cases, 2,257  Ashkenazi Jewish controls	971 Ashkenazi Jewish cases, 2,124 Ashkenazi Jewish controls	16q22.1	16	67971380	PSMB10	PSMB10			5699			rs11574514-A	rs11574514	0	11574514	nearGene-5	1	0.045	2E-7	6.698970004336019		   1.44	[1.35-1.52] 	Affyemtrix & Illumina [1,060,934] (imputed)	N
